,station_name,id
223,Tremont Av - Bx,223
224,174-175 Sts - Bx,224
225,155 St - M,225
226,81 St-Museum of Natural History - M,226
227,7 Av - M,227
228,47-50 Sts-Rockefeller Ctr - M,228
229,42 St-Bryant Park - M,229
230,34 St-Herald Sq - M,230
231,W 4 St-Washington Sq - M,231
232,Broadway-Lafayette St - M,232
233,Grand St - M,233
234,DeKalb Av - Bk,234
235,7 Av - Bk,235
236,Prospect Park - Bk,236
237,Newkirk Plaza - Bk,237
238,Kings Hwy - Bk,238
239,Sheepshead Bay - Bk,239
240,163 St-Amsterdam Av - M,240
241,42 St/Port Authority Bus Terminal - M,241
242,W 4-Washington Sq - M,242
243,High St - Bk,243
244,Jay St-MetroTech - Bk,244
245,Hoyt-Schermerhorn - Bk,245
246,Lafayette Av - Bk,246
247,Clinton-Washington Avs - Bk,247
248,Franklin Av - Bk,248
249,Kingston-Throop Avs - Bk,249
250,Utica Av - Bk,250
251,Ralph Av - Bk,251
252,Broadway Junction - Bk,252
253,Liberty Av - Bk,253
254,Shepherd Av - Bk,254
255,Norwood-205 St - Bx,255
256,42 St-Bryant Pk - M,256
257,36 St - Bk,257
258,9 Av - Bk,258
259,Fort Hamilton Pkwy - Bk,259
260,50 St - Bk,260
261,55 St - Bk,261
262,62 St - Bk,262
263,71 St - Bk,263
264,79 St - Bk,264
265,18 Av - Bk,265
266,20 Av - Bk,266
267,Bay Pkwy - Bk,267
268,25 Av - Bk,268
269,Bay-50 St - Bk,269
270,Jamaica Center-Parsons/Archer - Q,270
271,Sutphin Blvd-Archer Av-JFK Airport - Q,271
272,Jamaica-Van Wyck - Q,272
273,Briarwood - Q,273
274,Kew Gardens-Union Tpke - Q,274
275,75 Av - Q,275
276,Forest Hills-71 Av - Q,276
277,Jackson Hts-Roosevelt Av - Q,277
278,Queens Plaza - Q,278
279,Court Sq-23 St - Q,279
280,Lexington Av/53 St - M,280
281,5 Av/53 St - M,281
282,Jamaica-179 St - Q,282
283,169 St - Q,283
284,Parsons Blvd - Q,284
285,Sutphin Blvd - Q,285
286,21 St-Queensbridge - Q,286
287,Roosevelt Island - M,287
288,Lexington Av/63 St - M,288
289,57 St - M,289
290,47-50 Sts Rockefeller Ctr - M,290
291,2 Av - M,291
292,Delancey St-Essex St - M,292
293,East Broadway - M,293
294,York St - Bk,294
295,Carroll St - Bk,295
296,Smith-9 Sts - Bk,296
297,4 Av-9 St - Bk,297
298,15 St-Prospect Park - Bk,298
299,Ditmas Av - Bk,299
300,Avenue I - Bk,300
301,Avenue N - Bk,301
302,Avenue P - Bk,302
303,Avenue U - Bk,303
304,Avenue X - Bk,304
305,Neptune Av - Bk,305
306,W 8 St-NY Aquarium - Bk,306
307,21 St - Q,307
308,Greenpoint Av - Bk,308
309,Nassau Av - Bk,309
310,Metropolitan Av - Bk,310
311,Broadway - Bk,311
312,Flushing Av - Bk,312
313,Myrtle Willoughby Avs - Bk,313
314,Bedford-Nostrand Avs - Bk,314
315,Classon Av - Bk,315
316,Fulton St - Bk,316
317,4 Av-9 Sts - Bk,317
318,121 St - Q,318
319,104 St - Q,319
320,Woodhaven Blvd - Q,320
321,85 St-Forest Pkwy - Q,321
322,75 St-Elderts Ln - Q,322
323,Cypress Hills - Bk,323
324,Crescent St - Bk,324
325,Norwood Av - Bk,325
326,Cleveland St - Bk,326
327,Alabama Av - Bk,327
328,Chauncey St - Bk,328
329,Halsey St - Bk,329
330,Gates Av - Bk,330
331,Kosciuszko St - Bk,331
332,Myrtle Av - Bk,332
333,Lorimer St - Bk,333
334,Hewes St - Bk,334
335,Marcy Av - Bk,335
336,Bowery - M,336
337,8 Av - M,337
338,6 Av - M,338
339,3 Av - M,339
340,1 Av - M,340
341,Bedford Av - Bk,341
342,Graham Av - Bk,342
343,Grand St - Bk,343
344,Montrose Av - Bk,344
345,Morgan Av - Bk,345
346,Jefferson St - Bk,346
347,Myrtle-Wyckoff Avs - Bk,347
348,Halsey St - Q,348
349,Wilson Av - Bk,349
350,Bushwick Av-Aberdeen St - Bk,350
351,Atlantic Av - Bk,351
352,Sutter Av - Bk,352
353,Livonia Av - Bk,353
354,New Lots Av - Bk,354
355,East 105 St - Bk,355
356,67 Av - Q,356
357,63 Dr-Rego Park - Q,357
358,Grand Av-Newtown - Q,358
359,Elmhurst Av - Q,359
360,65 St - Q,360
361,Northern Blvd - Q,361
362,46 St - Q,362
363,Steinway St - Q,363
364,36 St - Q,364
365,Central Av - Bk,365
366,Knickerbocker Av - Bk,366
367,Seneca Av - Q,367
368,Forest Av - Q,368
369,Fresh Pond Rd - Q,369
370,Astoria Ditmars Blvd - Q,370
371,Astoria Blvd - Q,371
372,30 Av - Q,372
373,Broadway - Q,373
374,36 Av - Q,374
375,39 Av - Q,375
376,Lexington Av/59 St - M,376
377,5 Av/59 St - M,377
378,57 St-7 Av - M,378
379,49 St - M,379
380,59 St - Bk,380
381,8 Av - Bk,381
382,New Utrecht Av - Bk,382
383,86 St - Bk,383
384,Parkside Av - Bk,384
385,Cortelyou Rd - Bk,385
386,Avenue H - Bk,386
387,Avenue J - Bk,387
388,Avenue M - Bk,388
389,Neck Rd - Bk,389
390,Brighton Beach - Bk,390
391,Ocean Pkwy - Bk,391
392,Grand Av - Q,392
393,8 St-NYU - M,393
394,Prince St - M,394
395,City Hall - M,395
396,Cortlandt St - M,396
397,Whitehall St-South Ferry - M,397
398,Court St - Bk,398
399,Union St - Bk,399
400,Prospect Av - Bk,400
401,25 St - Bk,401
402,45 St - Bk,402
403,53 St - Bk,403
404,Bay Ridge Av - Bk,404
405,77 St - Bk,405
406,Astoria-Ditmars Blvd - Q,406
407,57-7 Av - M,407
408,Delancey St Essex St - M,408
409,South Ferry - M,409
410,Flatbush Av-Brooklyn College - Bk,410
411,Flatbush Av-Brooklyn College,411
412,34 St-Hudson Yards - M,412
413,Far Rockaway-Mott Av,413
414,Euclid Av - Bk,414
415,Coney Island-Stillwell Av - Bk,415
416,World Trade Center - M,416
417,Broad St - M,417
418,Canarsie-Rockaway Pkwy - Bk,418
419,Middle Village-Metropolitan Av - Q,419
420,Bay Ridge-95 St - Bk,420
